行业,股票,时间,产权比率,保守速动比率,偿债能力指标,净利润(元),净利润同比增长率,净资产收益率,净资产收益率-摊薄,基本每股收益(元),存货周转天数(天),存货周转率(次),应收账款周转天数(天),成长能力指标,扣非净利润(元),扣非净利润同比增长率,每股净资产(元),每股指标,每股未分配利润(元),每股经营现金流(元),每股资本公积金(元),流动比率,盈利能力指标,营业周期(天),营业总收入(元),营业总收入同比增长率,资产负债率,运营能力指标,速动比率,销售净利率,销售毛利率
医药行业,仙琚制药,2015-03-31,1.31,0.73,   ,1173.00万,45.57%,0.96%,0.96%,0.0200,103.22,0.87,72.03,   ,1126.87万,32.34%,2.39,   ,0.39,-0.19,0.80,1.04,   ,175.25,5.62亿,0.46%,56.45%,   ,0.73,2.16%,39.67%
医药行业,仙琚制药,2015-06-30,1.33,0.71,   ,4239.38万,48.76%,3.48%,3.52%,0.0800,104.66,1.72,67.46,   ,4073.96万,44.82%,2.35,   ,0.35,0.10,0.80,1.00,   ,172.12,11.81亿,-0.77%,56.78%,   ,0.71,3.70%,43.95%
医药行业,仙琚制药,2015-09-30,1.31,0.75,   ,7242.63万,75.49%,5.93%,5.86%,0.1400,94.37,2.86,73.87,   ,6995.94万,99.78%,2.41,   ,0.41,0.07,0.80,1.02,   ,168.24,18.46亿,-0.25%,56.40%,   ,0.75,3.76%,43.98%
医药行业,仙琚制药,2015-12-31,0.60,1.12,   ,1.07亿,87.93%,7.70%,4.98%,0.2000,92.25,3.90,55.23,   ,9332.84万,84.67%,3.50,   ,0.38,0.33,1.94,1.74,   ,147.48,24.80亿,0.39%,37.41%,   ,1.12,4.22%,43.72%
医药行业,仙琚制药,2016-03-31,0.56,1.06,   ,1359.11万,15.87%,0.63%,0.63%,0.0200,104.58,0.86,81.78,   ,1178.60万,4.59%,3.53,   ,0.41,-0.07,1.94,1.70,   ,186.36,5.22亿,-7.00%,35.91%,   ,1.06,2.47%,45.67%
医药行业,仙琚制药,2016-06-30,0.63,1.01,   ,5891.06万,38.96%,2.74%,2.76%,0.0600,96.84,1.86,76.78,   ,5855.73万,43.74%,3.50,   ,0.38,0.15,1.94,1.58,   ,173.62,12.05亿,2.03%,38.67%,   ,1.01,4.79%,49.93%
医药行业,仙琚制药,2016-09-30,0.61,1.00,   ,1.01亿,38.91%,4.67%,4.62%,0.1100,101.56,2.66,79.63,   ,1.02亿,46.26%,3.57,   ,0.45,0.09,1.94,1.59,   ,181.19,18.22亿,-1.28%,37.77%,   ,1.00,5.44%,51.21%
医药行业,仙琚制药,2016-12-31,0.62,1.03,   ,1.46亿,37.20%,6.71%,6.57%,0.1600,102.62,3.51,58.02,   ,1.31亿,40.04%,3.64,   ,0.50,0.26,1.94,1.57,   ,160.64,25.04亿,0.95%,38.22%,   ,1.03,5.85%,50.93%
医药行业,仙琚制药,2017-03-31,0.59,1.07,   ,1623.60万,19.46%,0.73%,0.72%,0.0200,111.61,0.81,80.73,   ,1576.30万,33.74%,3.67,   ,0.53,-0.10,1.94,1.61,   ,192.34,5.66亿,8.37%,36.98%,   ,1.07,2.35%,50.03%
医药行业,仙琚制药,2017-06-30,0.82,1.19,   ,8116.81万,37.78%,3.61%,3.61%,0.0900,114.88,1.57,78.16,   ,7872.10万,34.43%,2.45,   ,0.36,0.07,0.96,1.63,   ,193.04,12.74亿,5.69%,45.02%,   ,1.19,6.52%,54.39%
医药行业,仙琚制药,2017-09-30,0.74,1.25,   ,1.41亿,40.09%,6.23%,6.11%,0.1500,116.28,2.32,80.81,   ,1.38亿,34.49%,2.52,   ,0.42,0.11,0.96,1.71,   ,197.10,19.89亿,9.16%,42.38%,   ,1.25,7.66%,55.44%
医药行业,仙琚制药,2017-12-31,1.17,1.24,   ,2.07亿,41.35%,9.01%,8.78%,0.2300,128.82,2.79,64.17,   ,1.87亿,43.08%,2.57,   ,0.48,0.18,0.94,1.68,   ,192.99,28.53亿,13.93%,53.53%,   ,1.24,8.07%,56.32%
医药行业,仙琚制药,2018-03-31,1.18,1.25,   ,4050.12万,149.45%,1.71%,1.69%,0.0400,136.49,0.66,77.82,   ,4101.96万,160.23%,2.61,   ,0.52,-0.14,0.94,1.75,   ,214.31,8.30亿,46.62%,53.74%,   ,1.25,5.92%,56.32%
医药行业,仙琚制药,2018-06-30,1.26,1.18,   ,1.23亿,51.91%,5.15%,5.09%,0.1300,148.22,1.21,75.74,   ,1.16亿,46.92%,2.64,   ,0.55,0.09,0.94,1.63,   ,223.96,17.59亿,38.06%,55.24%,   ,1.18,7.54%,57.55%
医药行业,仙琚制药,2018-09-30,1.21,1.29,   ,2.12亿,50.18%,8.71%,8.43%,0.2300,147.09,1.84,77.57,   ,2.02亿,47.07%,2.74,   ,0.65,0.26,0.94,1.72,   ,224.66,26.50亿,33.25%,54.26%,   ,1.29,8.68%,59.04%
医药行业,仙琚制药,2018-12-31,1.04,1.22,   ,3.01亿,45.85%,12.05%,11.45%,0.3300,143.43,2.51,66.07,   ,2.82亿,51.00%,2.87,   ,0.73,0.21,0.97,1.69,   ,209.50,36.22亿,26.97%,50.21%,   ,1.24,9.54%,59.09%
医药行业,仙琚制药,2019-03-31,1.05,1.21,   ,5801.03万,43.23%,2.18%,2.16%,0.0600,178.15,0.51,84.30,   ,5626.22万,37.16%,2.93,   ,0.79,0.11,0.97,1.70,   ,262.45,8.36亿,0.70%,50.30%,   ,1.24,8.83%,59.13%
医药行业,仙琚制药,2019-06-30,1.10,1.15,   ,1.74亿,40.88%,6.46%,6.38%,0.1900,162.15,1.11,79.16,   ,1.63亿,41.28%,2.97,   ,0.85,0.38,0.95,1.65,   ,241.31,18.60亿,5.74%,51.47%,   ,1.22,10.51%,59.37%
医药行业,仙琚制药,2019-09-30,1.03,1.21,   ,2.91亿,37.40%,10.67%,10.29%,0.3200,166.02,1.63,75.40,   ,2.83亿,39.96%,3.08,   ,0.98,0.44,0.94,1.78,   ,241.42,27.69亿,4.49%,49.64%,   ,1.32,11.79%,60.68%
医药行业,仙琚制药,2019-12-31,0.94,1.02,   ,4.10亿,36.17%,14.78%,13.95%,0.4500,163.98,2.20,69.39,   ,3.78亿,33.90%,3.21,   ,1.07,0.57,0.93,1.63,   ,233.37,37.09亿,2.40%,47.49%,   ,1.20,11.93%,60.54%
医药行业,仙琚制药,2020-03-31,0.94,1.08,   ,6735.46万,16.11%,2.26%,2.24%,0.0700,174.45,0.52,89.76,   ,6329.34万,12.50%,3.28,   ,1.14,0.10,0.93,1.60,   ,264.21,7.45亿,-10.89%,47.62%,   ,1.20,8.40%,53.25%
医药行业,仙琚制药,2020-06-30,0.93,0.95,   ,2.05亿,18.20%,6.81%,6.71%,0.2200,163.31,1.10,79.28,   ,1.97亿,20.77%,3.34,   ,1.20,0.27,0.93,1.52,   ,242.59,17.71亿,-4.78%,47.13%,   ,1.10,12.11%,56.26%
医药行业,仙琚制药,2020-09-30,0.93,1.08,   ,3.58亿,23.26%,11.67%,11.16%,0.3900,153.98,1.75,72.01,   ,3.44亿,21.47%,3.50,   ,1.36,0.52,0.93,1.62,   ,225.99,29.34亿,5.94%,47.16%,   ,1.22,12.92%,58.32%
医药行业,仙琚制药,2020-12-31,0.51,1.33,   ,5.05亿,22.94%,15.46%,11.35%,0.5500,141.09,2.55,62.70,   ,4.60亿,21.55%,4.49,   ,1.38,0.80,1.82,2.32,   ,203.79,40.19亿,8.37%,32.99%,   ,1.53,13.16%,55.64%
医药行业,仙琚制药,2021-03-31,0.49,1.39,   ,1.11亿,64.21%,2.46%,2.44%,0.1100,159.66,0.56,63.69,   ,1.09亿,71.59%,4.59,   ,1.49,0.07,1.82,2.41,   ,223.35,10.01亿,34.47%,32.46%,   ,1.55,11.24%,56.91%
医药行业,仙琚制药,2021-06-30,0.49,1.22,   ,2.74亿,33.47%,6.06%,6.02%,0.2800,155.53,1.16,61.41,   ,2.71亿,37.11%,4.60,   ,1.50,0.24,1.82,2.21,   ,216.95,21.43亿,21.03%,32.26%,   ,1.39,12.83%,58.25%
医药行业,仙琚制药,2021-09-30,0.46,1.24,   ,4.59亿,28.11%,10.04%,9.73%,0.4642,156.16,1.73,58.33,   ,4.48亿,30.29%,4.77,   ,1.69,0.49,1.82,2.23,   ,214.49,33.17亿,13.07%,30.91%,   ,1.40,13.90%,59.11%
医药行业,仙琚制药,2021-12-31,0.37,1.69,   ,6.19亿,22.76%,12.84%,12.75%,0.6261,160.37,2.24,51.99,   ,5.81亿,26.46%,4.88,   ,1.80,0.68,1.82,2.56,   ,212.36,43.57亿,7.92%,26.45%,   ,1.88,14.25%,58.23%
医药行业,仙琚制药,2022-03-31,0.36,1.73,   ,1.28亿,15.47%,2.61%,2.58%,0.1300,181.16,0.50,52.07,   ,1.26亿,16.26%,5.00,   ,1.93,0.0060,1.82,2.58,   ,233.23,10.49亿,4.76%,26.07%,   ,1.89,11.64%,58.03%
医药行业,仙琚制药,2022-06-30,0.32,1.85,   ,3.31亿,20.82%,6.71%,6.64%,0.3300,170.52,1.06,50.15,   ,3.10亿,14.62%,5.04,   ,1.98,0.13,1.82,2.81,   ,220.67,22.28亿,3.96%,24.07%,   ,2.06,14.53%,58.17%
医药行业,仙琚制药,2022-09-30,0.28,2.10,   ,5.29亿,15.24%,10.59%,10.20%,0.5350,159.38,1.69,49.32,   ,4.98亿,11.18%,5.24,   ,2.18,0.37,1.82,3.11,   ,208.69,34.53亿,4.09%,21.97%,   ,2.29,15.43%,57.44%
医药行业,仙琚制药,2022-12-31,0.23,2.42,   ,7.49亿,21.00%,14.60%,13.73%,0.7576,174.71,2.06,45.99,   ,6.12亿,5.26%,5.52,   ,2.34,0.62,1.82,3.54,   ,220.70,43.80亿,0.52%,18.27%,   ,2.58,17.06%,58.15%
医药行业,仙琚制药,2023-03-31,0.23,2.48,   ,1.33亿,4.23%,2.41%,2.37%,0.1300,173.61,0.52,55.59,   ,1.32亿,4.75%,5.67,   ,2.48,0.07,1.82,3.57,   ,229.20,9.57亿,-8.75%,18.31%,   ,2.61,13.51%,52.35%
医药行业,仙琚制药,2023-06-30,0.24,2.22,   ,3.02亿,-8.84%,5.44%,5.45%,0.3100,156.21,1.15,54.91,   ,2.97亿,-4.37%,5.59,   ,2.35,0.25,1.82,3.20,   ,211.12,21.18亿,-4.93%,19.20%,   ,2.29,14.21%,51.68%
医药行业,仙琚制药,2023-09-30,0.23,2.21,   ,4.72亿,-10.89%,8.51%,8.34%,0.4767,148.27,1.82,52.12,   ,4.62亿,-7.32%,5.72,   ,2.52,0.49,1.82,3.16,   ,200.39,32.37亿,-6.24%,18.56%,   ,2.31,14.58%,51.25%
医药行业,众生药业,2014-12-31,0.22,2.23,   ,2.25亿,19.64%,12.81%,12.15%,0.3100,91.51,3.93,62.50,   ,2.19亿,21.67%,5.00,   ,1.65,0.27,2.10,4.01,   ,154.01,13.09亿,20.04%,17.67%,   ,2.23,16.51%,60.46%
医药行业,众生药业,2015-03-31,0.19,3.51,   ,6488.08万,26.64%,3.43%,3.37%,0.0900,96.24,0.94,78.66,   ,6155.95万,20.94%,5.21,   ,1.83,0.08,2.14,4.59,   ,174.90,3.26亿,21.68%,15.77%,   ,3.51,20.15%,62.43%
医药行业,众生药业,2015-06-30,0.62,0.70,   ,1.49亿,27.45%,7.82%,7.61%,0.2100,101.28,1.78,74.83,   ,1.47亿,26.45%,5.30,   ,1.77,0.35,2.23,1.05,   ,176.12,7.53亿,19.87%,37.64%,   ,0.70,19.38%,62.27%
医药行业,众生药业,2015-09-30,0.54,0.58,   ,2.20亿,30.48%,11.39%,11.02%,0.3000,99.13,2.72,69.56,   ,2.18亿,30.03%,2.70,   ,0.93,0.38,0.64,1.08,   ,168.69,11.42亿,19.43%,34.32%,   ,0.58,18.96%,62.96%
医药行业,众生药业,2015-12-31,0.59,0.77,   ,2.97亿,32.13%,15.13%,14.40%,0.4100,99.24,3.63,60.29,   ,2.89亿,32.08%,2.79,   ,1.02,0.26,0.69,1.10,   ,159.53,15.78亿,20.57%,36.73%,   ,0.77,18.74%,63.67%
医药行业,众生药业,2016-03-31,0.55,0.90,   ,9271.26万,42.90%,4.39%,4.29%,0.1300,104.79,0.86,58.05,   ,9201.92万,49.48%,2.92,   ,1.15,0.23,0.70,1.20,   ,162.83,4.17亿,27.83%,35.00%,   ,0.90,21.97%,65.21%
医药行业,众生药业,2016-06-30,0.40,0.97,   ,2.23亿,49.66%,10.31%,10.04%,0.3100,126.30,1.43,58.23,   ,2.20亿,49.17%,3.01,   ,1.19,0.39,0.70,1.40,   ,184.52,8.16亿,8.33%,28.24%,   ,0.97,27.39%,68.51%
医药行业,众生药业,2016-09-30,0.26,1.83,   ,3.03亿,37.78%,13.23%,9.24%,0.4100,135.39,1.99,61.37,   ,2.95亿,35.03%,4.03,   ,1.17,0.45,1.75,2.66,   ,196.77,12.38亿,8.38%,20.81%,   ,1.83,24.64%,69.94%
医药行业,众生药业,2016-12-31,0.24,1.39,   ,4.14亿,39.65%,16.20%,12.21%,0.5500,154.01,2.34,61.74,   ,3.67亿,27.10%,4.17,   ,1.27,0.42,1.75,2.92,   ,215.75,16.92亿,7.27%,18.96%,   ,1.39,24.84%,69.50%
医药行业,众生药业,2017-03-31,0.22,1.43,   ,1.11亿,19.43%,3.21%,3.16%,0.1400,153.37,0.59,76.41,   ,1.07亿,16.52%,4.31,   ,1.41,0.16,1.75,3.18,   ,229.79,4.37亿,4.87%,17.82%,   ,1.43,25.25%,65.58%
医药行业,众生药业,2017-06-30,0.19,1.86,   ,2.48亿,11.02%,7.02%,7.00%,0.3100,120.05,1.50,78.43,   ,2.42亿,10.36%,4.34,   ,1.40,0.22,1.75,3.29,   ,198.48,9.61亿,17.75%,15.77%,   ,1.86,25.80%,61.54%
医药行业,众生药业,2017-09-30,0.25,1.49,   ,3.16亿,4.14%,9.02%,8.77%,0.3900,117.30,2.30,70.91,   ,2.77亿,-6.10%,4.42,   ,1.48,0.31,1.75,2.75,   ,188.21,14.00亿,13.16%,20.08%,   ,1.49,22.46%,59.36%
医药行业,众生药业,2017-12-31,0.30,1.63,   ,4.20亿,1.39%,11.87%,11.33%,0.5200,118.15,3.05,62.84,   ,3.30亿,-10.15%,4.55,   ,1.57,0.45,1.75,2.25,   ,180.98,19.64亿,16.06%,23.18%,   ,1.63,21.54%,58.70%
医药行业,众生药业,2018-03-31,0.33,1.89,   ,1.22亿,10.52%,3.25%,3.20%,0.1500,101.83,0.88,68.06,   ,1.20亿,12.27%,4.70,   ,1.72,-0.06,1.75,2.67,   ,169.89,5.97亿,36.72%,24.76%,   ,1.89,20.40%,58.84%
医药行业,众生药业,2018-06-30,0.27,2.97,   ,2.74亿,10.75%,7.18%,7.15%,0.3400,102.06,1.76,66.50,   ,2.67亿,10.12%,4.71,   ,1.73,0.10,1.75,3.68,   ,168.55,11.94亿,24.28%,20.91%,   ,2.97,22.91%,60.44%
医药行业,众生药业,2018-09-30,0.33,1.98,   ,3.50亿,10.93%,9.18%,9.05%,0.4300,113.07,2.39,66.14,   ,3.38亿,21.93%,4.75,   ,1.82,0.32,1.70,2.73,   ,179.21,17.42亿,24.42%,24.52%,   ,1.98,20.11%,61.16%
医药行业,众生药业,2018-12-31,0.33,2.09,   ,4.36亿,3.70%,11.38%,11.16%,0.5400,110.41,3.26,64.13,   ,4.17亿,26.42%,4.79,   ,1.89,0.40,1.70,2.69,   ,174.54,23.62亿,20.23%,24.66%,   ,2.09,18.23%,61.72%
医药行业,众生药业,2019-03-31,0.41,2.47,   ,1.26亿,2.95%,3.15%,3.10%,0.1500,93.69,0.96,76.05,   ,1.25亿,4.13%,4.99,   ,2.05,0.09,1.78,2.91,   ,169.74,6.14亿,2.82%,28.42%,   ,2.47,20.77%,57.02%
医药行业,众生药业,2019-06-30,0.39,2.20,   ,3.02亿,10.24%,7.46%,7.48%,0.3700,106.94,1.68,76.59,   ,2.97亿,11.27%,4.96,   ,2.06,0.26,1.75,2.60,   ,183.53,13.06亿,9.44%,27.87%,   ,2.21,23.33%,62.15%
医药行业,众生药业,2019-09-30,0.30,2.54,   ,3.69亿,5.16%,9.15%,9.00%,0.4500,119.31,2.26,79.54,   ,3.58亿,6.07%,5.03,   ,2.15,0.35,1.74,3.20,   ,198.85,19.19亿,10.14%,22.66%,   ,2.61,19.34%,63.60%
医药行业,众生药业,2019-12-31,0.34,1.91,   ,3.18亿,-27.07%,7.99%,7.81%,0.3900,129.36,2.78,81.37,   ,2.95亿,-29.39%,4.99,   ,2.05,0.31,1.76,2.52,   ,210.74,25.32亿,7.20%,24.92%,   ,1.91,12.63%,63.76%
医药行业,众生药业,2020-03-31,0.38,1.77,   ,5272.59万,-58.15%,1.29%,1.28%,0.0700,217.08,0.41,141.60,   ,5330.59万,-57.47%,5.06,   ,2.11,0.08,1.76,2.32,   ,358.68,3.90亿,-36.57%,27.45%,   ,1.77,13.46%,59.34%
医药行业,众生药业,2020-06-30,0.33,2.33,   ,1.92亿,-36.58%,4.64%,4.68%,0.2400,238.95,0.75,130.77,   ,1.18亿,-60.30%,5.03,   ,2.08,0.36,1.76,2.89,   ,369.72,7.85亿,-39.89%,24.45%,   ,2.33,24.29%,62.68%
医药行业,众生药业,2020-09-30,0.31,2.62,   ,3.01亿,-18.21%,7.27%,7.16%,0.3800,217.60,1.24,113.16,   ,1.78亿,-50.19%,5.17,   ,2.22,0.44,1.76,3.17,   ,330.76,13.10亿,-31.72%,23.47%,   ,2.62,22.81%,64.92%
医药行业,众生药业,2020-12-31,0.33,3.16,   ,-4.27亿,-234.27%,-11.33%,-12.10%,-0.5300,213.03,1.69,101.36,   ,-6.29亿,-313.42%,4.33,   ,1.32,0.17,1.80,3.82,   ,314.39,18.96亿,-25.11%,24.07%,   ,3.16,-22.92%,65.34%
医药行业,众生药业,2021-03-31,0.31,3.28,   ,5676.30万,7.66%,1.58%,1.54%,0.0700,177.94,0.51,67.74,   ,1.12亿,110.41%,4.52,   ,1.39,0.06,1.91,4.00,   ,245.67,6.16亿,58.07%,22.65%,   ,3.28,8.91%,65.76%
医药行业,众生药业,2021-06-30,0.32,3.01,   ,2.88亿,50.16%,7.75%,7.74%,0.3600,197.61,0.91,64.90,   ,2.07亿,75.89%,4.56,   ,1.48,0.21,1.91,4.04,   ,262.50,12.10亿,54.09%,23.33%,   ,3.01,23.44%,67.96%
医药行业,众生药业,2021-09-30,0.28,3.71,   ,3.14亿,4.07%,8.45%,8.35%,0.3900,173.32,1.56,65.06,   ,2.97亿,66.50%,4.61,   ,1.51,0.40,1.93,4.59,   ,238.38,18.24亿,39.17%,21.17%,   ,3.71,16.85%,66.96%
医药行业,众生药业,2021-12-31,0.39,3.92,   ,2.78亿,165.08%,7.53%,7.99%,0.3500,191.04,1.88,66.38,   ,3.00亿,147.66%,4.27,   ,1.44,0.76,1.62,5.10,   ,257.42,24.29亿,28.13%,27.82%,   ,3.92,11.31%,66.80%
医药行业,众生药业,2022-03-31,0.43,3.37,   ,7459.04万,31.41%,2.12%,2.08%,0.0900,184.28,0.49,69.82,   ,1.26亿,12.49%,4.41,   ,1.53,0.03,1.61,4.37,   ,254.10,6.76亿,9.73%,29.71%,   ,3.37,10.89%,66.95%
医药行业,众生药业,2022-06-30,0.49,2.82,   ,2.02亿,-29.73%,5.66%,5.66%,0.2500,179.09,1.01,70.63,   ,1.88亿,-9.45%,4.39,   ,1.49,0.20,1.60,3.57,   ,249.71,13.26亿,9.57%,32.35%,   ,2.82,15.12%,66.11%
医药行业,众生药业,2022-09-30,0.58,2.20,   ,2.49亿,-20.73%,6.98%,6.85%,0.3100,180.47,1.50,71.21,   ,2.67亿,-10.08%,4.46,   ,1.55,0.17,1.61,2.76,   ,251.68,19.91亿,9.19%,36.47%,   ,2.20,12.37%,66.12%
医药行业,众生药业,2022-12-31,0.53,2.25,   ,3.22亿,16.00%,8.98%,8.70%,0.4000,178.62,2.02,66.89,   ,3.00亿,0.27%,4.55,   ,1.60,0.08,1.61,2.92,   ,245.51,26.76亿,10.17%,33.92%,   ,2.25,11.78%,64.86%
医药行业,众生药业,2023-03-31,0.47,2.63,   ,1.39亿,86.86%,3.73%,3.67%,0.1700,150.80,0.60,63.97,   ,1.28亿,1.47%,4.66,   ,1.77,-0.18,1.55,3.37,   ,214.77,7.47亿,10.50%,31.00%,   ,2.63,18.49%,61.49%
医药行业,众生药业,2023-06-30,0.40,3.39,   ,2.09亿,3.12%,5.57%,4.84%,0.2600,161.22,1.12,66.03,   ,2.29亿,22.12%,5.05,   ,1.58,0.07,2.13,4.55,   ,227.25,14.82亿,11.80%,27.84%,   ,3.39,14.32%,61.69%
医药行业,众生药业,2023-09-30,0.42,3.22,   ,2.79亿,12.37%,7.11%,6.38%,0.3400,168.32,1.60,69.16,   ,3.00亿,12.33%,5.13,   ,1.66,0.07,2.12,4.31,   ,237.48,20.71亿,4.02%,28.97%,   ,3.22,13.48%,60.39%
医药行业,信立泰,2014-12-31,0.22,2.72,   ,10.42亿,25.51%,30.75%,27.58%,1.0000,73.51,4.90,95.90,   ,10.33亿,25.55%,5.78,   ,3.40,1.50,0.88,3.19,   ,169.41,28.83亿,23.85%,17.94%,   ,2.72,36.20%,73.47%
医药行业,信立泰,2015-03-31,0.15,3.50,   ,3.14亿,23.38%,7.97%,7.66%,0.3000,88.05,1.02,103.02,   ,3.12亿,23.68%,6.26,   ,3.88,0.30,0.88,4.55,   ,191.07,7.83亿,20.30%,12.94%,   ,3.50,40.13%,77.49%
医药行业,信立泰,2015-06-30,0.15,3.81,   ,6.19亿,25.00%,15.73%,15.71%,0.5900,86.70,2.08,95.88,   ,6.15亿,25.55%,3.77,   ,2.28,0.37,0.17,4.32,   ,182.57,16.58亿,27.17%,13.00%,   ,3.81,37.42%,74.31%
医药行业,信立泰,2015-09-30,0.20,2.69,   ,9.26亿,23.23%,23.22%,21.79%,0.8900,99.59,2.71,101.38,   ,9.19亿,23.44%,4.06,   ,2.57,0.64,0.17,3.60,   ,200.97,25.68亿,29.48%,16.71%,   ,2.69,36.13%,73.88%
医药行业,信立泰,2015-12-31,0.15,4.08,   ,12.66亿,21.45%,30.82%,27.58%,1.2100,97.16,3.71,85.91,   ,12.47亿,20.69%,4.39,   ,2.82,1.01,0.17,4.76,   ,183.07,34.78亿,20.64%,12.83%,   ,4.08,36.51%,73.77%
医药行业,信立泰,2016-03-31,0.14,4.74,   ,3.58亿,14.11%,7.50%,7.23%,0.3400,125.16,0.72,82.68,   ,3.53亿,12.98%,4.73,   ,3.16,0.29,0.17,5.28,   ,207.84,9.15亿,16.87%,12.17%,   ,4.74,39.08%,76.38%
医药行业,信立泰,2016-06-30,0.22,3.13,   ,6.94亿,12.16%,14.69%,14.91%,0.6600,109.01,1.65,80.04,   ,6.86亿,11.43%,4.45,   ,2.88,0.65,0.17,3.45,   ,189.04,18.92亿,14.10%,17.80%,   ,3.13,36.61%,74.50%
医药行业,信立泰,2016-09-30,0.21,3.27,   ,10.40亿,12.28%,21.84%,20.79%,0.9900,117.63,2.30,74.93,   ,10.29亿,11.94%,4.78,   ,3.21,1.07,0.17,3.64,   ,192.56,28.29亿,10.19%,17.31%,   ,3.27,36.62%,74.35%
医药行业,信立泰,2016-12-31,0.20,3.29,   ,13.96亿,10.31%,28.68%,26.05%,1.3300,125.83,2.86,75.86,   ,13.80亿,10.63%,5.12,   ,3.45,1.37,0.17,3.77,   ,201.69,38.33亿,10.23%,16.44%,   ,3.29,36.26%,75.22%
医药行业,信立泰,2017-03-31,0.18,2.90,   ,3.76亿,5.19%,6.78%,6.56%,0.3600,159.21,0.57,72.56,   ,3.67亿,4.03%,5.48,   ,3.81,0.41,0.17,4.32,   ,231.77,9.72亿,6.23%,14.77%,   ,2.90,38.33%,79.43%
医药行业,信立泰,2017-06-30,0.12,4.27,   ,7.30亿,5.19%,13.33%,13.64%,0.7000,164.47,1.09,71.20,   ,7.11亿,3.72%,5.12,   ,3.45,0.71,0.17,5.75,   ,235.67,20.35亿,7.55%,10.78%,   ,4.27,35.55%,79.41%
医药行业,信立泰,2017-09-30,0.12,3.43,   ,10.94亿,5.24%,19.89%,19.14%,1.0500,184.98,1.46,69.30,   ,10.69亿,3.91%,5.47,   ,3.79,1.04,0.17,5.83,   ,254.28,31.02亿,9.64%,10.89%,   ,3.43,34.93%,80.51%
医药行业,信立泰,2017-12-31,0.12,3.96,   ,14.52亿,3.97%,25.94%,23.99%,1.3900,183.72,1.96,70.63,   ,13.95亿,1.14%,5.79,   ,4.13,1.39,0.15,6.48,   ,254.35,41.54亿,8.36%,10.28%,   ,3.96,34.59%,81.10%
医药行业,信立泰,2018-03-31,0.09,5.02,   ,4.15亿,10.33%,6.63%,6.42%,0.4000,207.04,0.43,63.37,   ,3.97亿,8.26%,6.18,   ,4.53,0.29,0.15,7.96,   ,270.41,11.26亿,15.86%,8.40%,   ,5.02,36.53%,81.25%
医药行业,信立泰,2018-06-30,0.09,5.58,   ,7.90亿,8.12%,12.80%,13.15%,0.7500,197.59,0.91,69.02,   ,7.63亿,7.31%,5.74,   ,4.09,0.54,0.15,6.99,   ,266.60,22.67亿,11.42%,8.28%,   ,5.58,34.76%,80.27%
医药行业,信立泰,2018-09-30,0.17,2.23,   ,11.50亿,5.12%,25.93%,18.05%,1.1000,201.97,1.34,69.98,   ,11.08亿,3.71%,6.09,   ,4.43,1.07,0.15,4.05,   ,271.96,35.35亿,13.96%,13.99%,   ,2.23,32.46%,80.72%
医药行业,信立泰,2018-12-31,0.16,3.24,   ,14.58亿,0.44%,23.43%,21.89%,1.3900,200.04,1.80,63.31,   ,14.05亿,0.66%,6.37,   ,4.73,1.28,0.14,5.09,   ,263.35,46.52亿,11.99%,13.08%,   ,3.24,31.27%,79.71%
医药行业,信立泰,2019-03-31,0.13,4.32,   ,3.22亿,-22.57%,4.71%,4.61%,0.3100,203.90,0.44,55.98,   ,3.06亿,-22.91%,6.68,   ,5.04,0.42,0.14,6.34,   ,259.87,11.89亿,5.52%,11.25%,   ,4.32,26.93%,79.52%
医药行业,信立泰,2019-06-30,0.16,2.63,   ,6.33亿,-19.90%,9.44%,9.80%,0.6000,210.35,0.86,60.12,   ,5.83亿,-23.68%,6.17,   ,4.53,0.79,0.14,4.43,   ,270.47,23.56亿,3.92%,13.19%,   ,2.63,26.75%,79.47%
医药行业,信立泰,2019-09-30,0.17,3.10,   ,7.17亿,-37.66%,10.94%,10.96%,0.6900,198.84,1.36,63.21,   ,6.62亿,-40.28%,6.26,   ,4.61,1.21,0.14,4.40,   ,262.05,35.64亿,0.82%,14.21%,   ,3.10,19.37%,79.04%
医药行业,信立泰,2019-12-31,0.16,3.24,   ,7.15亿,-50.95%,11.07%,11.02%,0.6800,200.47,1.80,58.78,   ,6.43亿,-54.19%,6.20,   ,4.61,1.44,0.14,3.97,   ,259.25,44.70亿,-3.90%,13.80%,   ,3.24,15.25%,78.43%
医药行业,信立泰,2020-03-31,0.21,2.80,   ,1.50亿,-53.33%,2.29%,2.31%,0.1400,199.82,0.45,66.88,   ,1.35亿,-55.75%,6.22,   ,4.75,0.59,0.14,3.40,   ,266.70,8.66亿,-27.13%,16.73%,   ,2.80,17.23%,74.23%
医药行业,信立泰,2020-06-30,0.26,1.87,   ,1.97亿,-68.92%,3.06%,3.43%,0.1900,166.62,1.08,64.57,   ,1.66亿,-71.48%,5.48,   ,4.30,1.05,--,2.35,   ,231.19,15.36亿,-34.81%,20.16%,   ,1.87,12.53%,67.65%
医药行业,信立泰,2020-09-30,0.22,1.68,   ,2.67亿,-62.69%,4.22%,4.62%,0.2600,186.48,1.45,65.95,   ,2.31亿,-65.05%,5.53,   ,4.37,1.11,--,2.12,   ,252.42,21.34亿,-40.12%,17.77%,   ,1.68,12.25%,69.33%
